bounded_context,entity,logical_name,table_name,module,data_classification,owner_service,retention_policy,api_surface,description
identity,onboarding_answer,OnboardingAnswer,identity.onboarding_answer,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para OnboardingAnswer.
identity,readiness_screening,ReadinessScreening,identity.readiness_screening,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para ReadinessScreening.
identity,goal,Goal,identity.goal,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para Goal.
identity,goal_milestone,GoalMilestone,identity.goal_milestone,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para GoalMilestone.
identity,baseline_profile,BaselineProfile,identity.baseline_profile,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para BaselineProfile.
identity,risk_flag,RiskFlag,identity.risk_flag,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para RiskFlag.
identity,coach_assignment,CoachAssignment,identity.coach_assignment,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para CoachAssignment.
identity,household_link,HouseholdLink,identity.household_link,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para HouseholdLink.
identity,locale_preference,LocalePreference,identity.locale_preference,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para LocalePreference.
identity,accessibility_preference,AccessibilityPreference,identity.accessibility_preference,Foundation Intelligence,personal_confidential,identity-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Foundation Intelligence para AccessibilityPreference.
body,movement_pattern,MovementPattern,body.movement_pattern,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para MovementPattern.
body,exercise,Exercise,body.exercise,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para Exercise.
body,exercise_level,ExerciseLevel,body.exercise_level,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para ExerciseLevel.
body,exercise_regression,ExerciseRegression,body.exercise_regression,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para ExerciseRegression.
body,exercise_progression,ExerciseProgression,body.exercise_progression,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para ExerciseProgression.
body,exercise_cue,ExerciseCue,body.exercise_cue,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para ExerciseCue.
body,exercise_contraindication,ExerciseContraindication,body.exercise_contraindication,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para ExerciseContraindication.
body,workout_template,WorkoutTemplate,body.workout_template,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para WorkoutTemplate.
body,workout_block,WorkoutBlock,body.workout_block,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para WorkoutBlock.
body,workout_exercise,WorkoutExercise,body.workout_exercise,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para WorkoutExercise.
body,workout_session,WorkoutSession,body.workout_session,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para WorkoutSession.
body,workout_set,WorkoutSet,body.workout_set,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para WorkoutSet.
body,rep_record,RepRecord,body.rep_record,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para RepRecord.
body,time_record,TimeRecord,body.time_record,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para TimeRecord.
body,rpe_record,RpeRecord,body.rpe_record,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para RpeRecord.
body,training_day,TrainingDay,body.training_day,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para TrainingDay.
body,training_week,TrainingWeek,body.training_week,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para TrainingWeek.
body,training_phase,TrainingPhase,body.training_phase,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para TrainingPhase.
body,deload_rule,DeloadRule,body.deload_rule,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para DeloadRule.
body,graduation_criterion,GraduationCriterion,body.graduation_criterion,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para GraduationCriterion.
body,physical_assessment,PhysicalAssessment,body.physical_assessment,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para PhysicalAssessment.
body,strength_test,StrengthTest,body.strength_test,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para StrengthTest.
body,endurance_test,EnduranceTest,body.endurance_test,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para EnduranceTest.
body,mobility_test,MobilityTest,body.mobility_test,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para MobilityTest.
body,anthropometry_record,AnthropometryRecord,body.anthropometry_record,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para AnthropometryRecord.
body,body_measurement,BodyMeasurement,body.body_measurement,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para BodyMeasurement.
body,progress_photo,ProgressPhoto,body.progress_photo,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para ProgressPhoto.
body,body_composition_estimate,BodyCompositionEstimate,body.body_composition_estimate,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para BodyCompositionEstimate.
body,personal_record,PersonalRecord,body.personal_record,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para PersonalRecord.
body,adaptation_rule,AdaptationRule,body.adaptation_rule,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para AdaptationRule.
body,joint_load_profile,JointLoadProfile,body.joint_load_profile,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para JointLoadProfile.
body,equipment_requirement,EquipmentRequirement,body.equipment_requirement,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para EquipmentRequirement.
body,warmup_protocol,WarmupProtocol,body.warmup_protocol,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para WarmupProtocol.
body,cooldown_protocol,CooldownProtocol,body.cooldown_protocol,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para CooldownProtocol.
body,military_challenge_result,MilitaryChallengeResult,body.military_challenge_result,Body Performance,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Body Performance para MilitaryChallengeResult.
combat,combat_skill,CombatSkill,combat.combat_skill,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para CombatSkill.
combat,technique,Technique,combat.technique,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para Technique.
combat,strike,Strike,combat.strike,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para Strike.
combat,combination,Combination,combat.combination,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para Combination.
combat,footwork_pattern,FootworkPattern,combat.footwork_pattern,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para FootworkPattern.
combat,shadowboxing_session,ShadowboxingSession,combat.shadowboxing_session,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para ShadowboxingSession.
combat,round,Round,combat.round,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para Round.
combat,round_interval,RoundInterval,combat.round_interval,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para RoundInterval.
combat,jump_rope_session,JumpRopeSession,combat.jump_rope_session,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para JumpRopeSession.
combat,jump_rope_metric,JumpRopeMetric,combat.jump_rope_metric,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para JumpRopeMetric.
combat,conditioning_circuit,ConditioningCircuit,combat.conditioning_circuit,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para ConditioningCircuit.
combat,circuit_station,CircuitStation,combat.circuit_station,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para CircuitStation.
combat,circuit_result,CircuitResult,combat.circuit_result,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para CircuitResult.
combat,march_session,MarchSession,combat.march_session,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para MarchSession.
combat,load_carry_record,LoadCarryRecord,combat.load_carry_record,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para LoadCarryRecord.
combat,zone2_session,Zone2Session,combat.zone2_session,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para Zone2Session.
combat,hiit_session,HiitSession,combat.hiit_session,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para HiitSession.
combat,muay_thai_lesson,MuayThaiLesson,combat.muay_thai_lesson,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para MuayThaiLesson.
combat,technique_assessment,TechniqueAssessment,combat.technique_assessment,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para TechniqueAssessment.
combat,safety_restriction,SafetyRestriction,combat.safety_restriction,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para SafetyRestriction.
combat,no_contact_policy,NoContactPolicy,combat.no_contact_policy,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para NoContactPolicy.
combat,combat_progression_rule,CombatProgressionRule,combat.combat_progression_rule,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para CombatProgressionRule.
combat,technical_drill,TechnicalDrill,combat.technical_drill,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para TechnicalDrill.
combat,breathing_cadence,BreathingCadence,combat.breathing_cadence,Combat Conditioning,personal_operational,training-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Combat Conditioning para BreathingCadence.
recovery,recovery_plan,RecoveryPlan,recovery.recovery_plan,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para RecoveryPlan.
recovery,sleep_record,SleepRecord,recovery.sleep_record,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para SleepRecord.
recovery,sleep_stage_summary,SleepStageSummary,recovery.sleep_stage_summary,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para SleepStageSummary.
recovery,readiness_score,ReadinessScore,recovery.readiness_score,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para ReadinessScore.
recovery,soreness_report,SorenessReport,recovery.soreness_report,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para SorenessReport.
recovery,pain_report,PainReport,recovery.pain_report,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para PainReport.
recovery,pain_rule_decision,PainRuleDecision,recovery.pain_rule_decision,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para PainRuleDecision.
recovery,mobility_routine,MobilityRoutine,recovery.mobility_routine,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para MobilityRoutine.
recovery,mobility_exercise,MobilityExercise,recovery.mobility_exercise,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para MobilityExercise.
recovery,stretching_session,StretchingSession,recovery.stretching_session,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para StretchingSession.
recovery,joint_care_protocol,JointCareProtocol,recovery.joint_care_protocol,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para JointCareProtocol.
recovery,injury_history,InjuryHistory,recovery.injury_history,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para InjuryHistory.
recovery,injury_restriction,InjuryRestriction,recovery.injury_restriction,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para InjuryRestriction.
recovery,stress_record,StressRecord,recovery.stress_record,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para StressRecord.
recovery,resting_heart_rate_record,RestingHeartRateRecord,recovery.resting_heart_rate_record,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para RestingHeartRateRecord.
recovery,hrv_record,HrvRecord,recovery.hrv_record,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para HrvRecord.
recovery,respiratory_rate_record,RespiratoryRateRecord,recovery.respiratory_rate_record,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para RespiratoryRateRecord.
recovery,recovery_recommendation,RecoveryRecommendation,recovery.recovery_recommendation,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para RecoveryRecommendation.
recovery,deload_execution,DeloadExecution,recovery.deload_execution,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para DeloadExecution.
recovery,active_recovery_session,ActiveRecoverySession,recovery.active_recovery_session,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para ActiveRecoverySession.
recovery,massage_session,MassageSession,recovery.massage_session,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para MassageSession.
recovery,hydrotherapy_session,HydrotherapySession,recovery.hydrotherapy_session,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para HydrotherapySession.
recovery,recovery_alert,RecoveryAlert,recovery.recovery_alert,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para RecoveryAlert.
recovery,return_to_training_decision,ReturnToTrainingDecision,recovery.return_to_training_decision,Recovery System,personal_operational,recovery-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Recovery System para ReturnToTrainingDecision.
nutrition,nutrition_profile,NutritionProfile,nutrition.nutrition_profile,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para NutritionProfile.
nutrition,nutrition_goal,NutritionGoal,nutrition.nutrition_goal,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para NutritionGoal.
nutrition,meal_plan,MealPlan,nutrition.meal_plan,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para MealPlan.
nutrition,meal,Meal,nutrition.meal,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para Meal.
nutrition,meal_item,MealItem,nutrition.meal_item,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para MealItem.
nutrition,food,Food,nutrition.food,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para Food.
nutrition,food_brand,FoodBrand,nutrition.food_brand,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para FoodBrand.
nutrition,food_portion,FoodPortion,nutrition.food_portion,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para FoodPortion.
nutrition,macro_target,MacroTarget,nutrition.macro_target,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para MacroTarget.
nutrition,micronutrient_target,MicronutrientTarget,nutrition.micronutrient_target,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para MicronutrientTarget.
nutrition,calorie_budget,CalorieBudget,nutrition.calorie_budget,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para CalorieBudget.
nutrition,protein_target,ProteinTarget,nutrition.protein_target,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para ProteinTarget.
nutrition,hydration_target,HydrationTarget,nutrition.hydration_target,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para HydrationTarget.
nutrition,hydration_record,HydrationRecord,nutrition.hydration_record,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para HydrationRecord.
nutrition,supplement,Supplement,nutrition.supplement,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para Supplement.
nutrition,supplement_protocol,SupplementProtocol,nutrition.supplement_protocol,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para SupplementProtocol.
nutrition,supplement_intake,SupplementIntake,nutrition.supplement_intake,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para SupplementIntake.
nutrition,grocery_list,GroceryList,nutrition.grocery_list,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para GroceryList.
nutrition,recipe,Recipe,nutrition.recipe,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para Recipe.
nutrition,recipe_ingredient,RecipeIngredient,nutrition.recipe_ingredient,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para RecipeIngredient.
nutrition,eating_window,EatingWindow,nutrition.eating_window,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para EatingWindow.
nutrition,dietary_restriction,DietaryRestriction,nutrition.dietary_restriction,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para DietaryRestriction.
nutrition,allergy,Allergy,nutrition.allergy,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para Allergy.
nutrition,nutrition_check_in,NutritionCheckIn,nutrition.nutrition_check_in,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para NutritionCheckIn.
nutrition,body_recomposition_plan,BodyRecompositionPlan,nutrition.body_recomposition_plan,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para BodyRecompositionPlan.
nutrition,meal_prep_task,MealPrepTask,nutrition.meal_prep_task,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para MealPrepTask.
nutrition,nutrition_adherence_score,NutritionAdherenceScore,nutrition.nutrition_adherence_score,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para NutritionAdherenceScore.
nutrition,nutrition_education_card,NutritionEducationCard,nutrition.nutrition_education_card,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para NutritionEducationCard.
nutrition,nutrition_protocol,NutritionProtocol,nutrition.nutrition_protocol,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para NutritionProtocol.
nutrition,nutrition_phase,NutritionPhase,nutrition.nutrition_phase,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para NutritionPhase.
nutrition,phoenix_foundation_protocol,PhoenixFoundationProtocol,nutrition.phoenix_foundation_protocol,Nutrition Intelligence,personal_operational,nutrition-service,active_account_plus_contractual_retention,rest_graphql_mobile_web,Entidade de Nutrition Intelligence para PhoenixFoundationProtocol.
